default,checking_balance,months_loan_duration,credit_history,purpose_furn,purpose_car,purpose_reno,purpose_edu,purpose_bus,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,otherCreditBank,otherCreditStore,existing_loans_count,job,dependents
no,1,6,3,0,2,0,0,0,662,2,2,3,4,41,0,0,1,2,2
no,2,6,1,0,2,0,0,0,666,5,4,3,4,39,0,0,2,2,1
no,3,6,3,0,2,0,0,0,672,2,1,1,4,54,0,0,1,1,1
no,3,12,1,0,2,0,0,0,682,3,4,4,3,51,0,0,2,3,1
no,2,6,2,1,0,0,0,0,683,2,2,2,1,29,1,0,1,3,1
no,1,6,1,1,0,0,0,0,700,1,5,4,4,36,0,0,2,3,1
no,2,12,1,0,0,0,1,0,701,2,3,4,2,32,0,0,2,3,1
no,1,12,3,1,0,0,0,0,701,2,3,4,2,40,0,0,1,2,1
no,2,12,3,1,0,0,0,0,707,2,3,4,2,30,1,0,2,3,1
no,2,12,3,1,0,0,0,0,708,2,3,2,3,38,0,0,1,2,2
no,3,6,3,0,2,0,0,0,709,5,2,2,2,27,0,0,1,1,1
no,3,12,1,1,0,0,0,0,717,2,5,4,4,52,0,0,3,3,1
no,1,24,2,0,2,0,0,0,717,1,5,4,4,54,0,0,2,3,1
no,3,10,3,0,0,0,1,0,727,4,5,4,4,46,0,0,1,3,1
no,1,7,1,1,0,0,0,0,730,1,5,4,2,46,0,0,2,2,1
no,2,8,1,0,2,0,0,0,731,2,5,4,4,47,0,0,2,2,1
no,3,6,3,1,0,0,0,0,753,2,3,2,3,64,0,0,1,3,1
no,2,12,3,0,0,0,1,0,754,1,5,4,4,38,0,0,2,3,1
no,3,8,3,1,0,0,0,0,760,2,4,4,2,44,0,0,1,2,1
no,1,12,3,1,0,0,0,0,763,2,3,4,1,26,0,0,1,3,1
no,3,12,3,1,0,0,0,0,776,2,3,4,2,28,0,0,1,3,1
no,2,10,1,0,2,0,0,0,781,2,5,4,4,63,0,0,2,3,1
no,1,6,4,0,2,0,0,0,783,1,3,1,2,26,0,1,1,2,2
no,1,9,3,1,0,0,0,0,790,4,3,4,3,66,0,0,1,2,1
no,2,14,2,0,2,0,0,0,802,2,3,4,2,27,0,0,2,2,1
no,3,12,3,1,0,0,0,0,804,2,5,4,4,38,0,0,1,3,1
no,3,15,3,0,0,0,0,1,806,2,3,4,4,22,0,0,1,2,1
no,2,12,3,0,0,0,0,1,841,3,4,2,4,23,0,0,1,2,1
no,2,7,2,1,0,0,0,0,846,1,5,3,4,36,0,0,1,3,1
no,1,6,1,0,2,0,0,0,860,2,5,1,4,39,0,0,2,3,1
no,2,18,3,1,0,0,0,0,866,2,3,4,2,25,0,0,1,2,1
no,2,15,3,1,0,0,0,0,874,1,2,4,1,24,0,0,1,3,1
no,2,13,1,1,0,0,0,0,882,2,2,4,4,23,0,0,2,3,1
no,2,12,3,1,0,0,0,0,886,1,3,4,2,21,0,0,1,3,1
no,2,10,3,0,0,0,1,0,894,1,4,4,3,40,0,0,1,3,1
no,3,8,3,0,0,0,0,1,907,2,2,3,2,26,0,0,1,3,1
no,3,36,3,0,2,0,0,0,909,4,5,4,4,36,0,0,1,3,1
no,3,12,1,0,2,0,0,0,926,2,1,1,2,38,0,0,1,1,1
no,2,24,3,1,0,0,0,0,929,1,4,4,2,31,0,1,1,3,1
no,1,12,1,1,0,0,0,0,930,1,5,4,4,65,0,0,4,3,1
no,1,6,1,0,0,0,1,0,932,1,4,1,3,39,0,0,2,2,1
no,1,6,2,1,0,0,0,0,932,2,3,3,2,24,0,0,1,3,1
no,1,9,1,0,0,0,1,0,936,4,5,4,2,52,0,0,2,3,1
no,3,24,3,0,0,0,1,0,937,2,2,4,3,27,0,0,2,2,1
no,1,12,1,0,2,0,0,0,958,2,4,2,3,47,0,0,2,2,2
no,1,15,2,1,0,0,0,0,960,5,4,3,2,30,0,0,2,3,1
no,2,15,1,1,0,0,0,0,975,2,3,2,3,25,0,0,2,3,1
no,3,12,1,1,0,0,0,0,976,1,5,4,4,35,0,0,2,3,1
no,2,12,3,1,0,0,0,0,983,5,2,1,4,19,0,0,1,2,1
no,3,12,1,0,0,1,0,0,996,1,4,4,4,23,0,0,2,3,1
no,3,24,3,1,0,0,0,0,999,1,5,4,2,25,0,0,2,3,1
no,1,12,3,0,2,0,0,0,1007,5,3,4,1,22,0,0,1,3,1
no,1,18,1,0,2,0,0,0,1028,2,3,4,3,36,0,0,2,3,1
no,1,12,3,0,0,0,0,1,1037,3,4,3,4,39,0,0,1,2,1
no,3,10,1,0,2,0,0,0,1038,2,4,4,3,49,0,0,2,3,1
no,2,6,1,0,0,0,1,0,1047,2,3,2,4,50,0,0,1,2,1
no,1,10,4,1,0,0,0,0,1048,2,3,4,4,23,0,1,1,2,1
no,3,18,1,1,0,0,0,0,1049,2,2,4,4,21,0,0,1,3,1
no,1,6,2,1,0,0,0,0,1050,2,1,4,1,35,0,1,2,4,1
no,1,15,3,1,0,0,0,0,1053,2,2,4,2,27,0,0,1,3,1
no,3,18,1,0,2,0,0,0,1055,2,2,4,1,30,0,0,2,3,1
no,2,6,3,1,0,0,0,0,1068,2,5,4,4,28,0,0,1,3,2
no,2,12,3,0,0,0,0,1,1076,2,3,2,2,26,0,0,1,3,1
no,3,9,3,1,0,0,0,0,1082,2,5,4,4,27,0,0,2,2,1
no,2,12,3,1,0,0,0,0,1092,2,3,4,4,49,0,0,2,3,1
no,2,18,1,1,0,0,0,0,1098,2,1,4,4,65,0,0,2,1,1
no,2,12,3,0,2,0,0,0,1101,2,3,3,2,27,0,0,2,3,1
no,1,12,3,1,0,0,0,0,1103,2,4,4,3,29,0,0,2,3,1
no,1,12,3,1,0,0,0,0,1107,2,3,2,2,20,0,0,1,4,2
no,3,18,3,1,0,0,0,0,1113,2,3,4,4,26,0,0,1,2,2
no,3,9,3,1,0,0,0,0,1126,3,5,2,4,49,0,0,1,3,1
no,2,18,3,1,0,0,0,0,1126,1,2,4,2,21,0,0,1,3,1
no,2,9,1,1,0,0,0,0,1138,2,3,4,4,25,0,0,2,2,1
no,1,18,1,1,0,0,0,0,1149,5,3,4,3,46,0,0,2,3,1
no,3,9,1,1,0,0,0,0,1154,2,5,2,4,37,0,0,3,2,1
no,1,11,1,1,0,0,0,0,1154,3,1,4,4,57,0,0,3,2,1
no,3,12,3,1,0,0,0,0,1155,2,5,3,3,40,1,0,2,2,1
no,3,12,3,1,0,0,0,0,1158,4,3,3,1,26,0,0,1,3,1
no,3,12,1,0,2,0,0,0,1163,4,3,4,4,44,0,0,1,3,1
no,2,8,1,0,1,0,0,0,1164,2,5,3,4,51,1,0,2,4,2
no,2,12,3,0,2,0,0,0,1168,2,3,4,3,27,0,0,1,2,1
no,3,6,1,1,0,0,0,0,1169,1,5,4,4,67,0,0,2,3,1
no,2,18,1,1,0,0,0,0,1169,1,3,4,3,29,0,0,2,3,1
no,3,16,1,0,2,0,0,0,1175,2,1,2,3,68,0,0,3,1,1
no,3,12,1,0,0,0,0,1,1185,2,3,3,2,27,0,0,2,3,1
no,1,9,3,0,0,0,1,0,1199,2,4,4,4,67,0,0,2,4,1
no,1,12,3,0,0,0,1,0,1200,1,3,4,4,23,1,0,1,3,1
no,2,24,3,0,2,0,0,0,1201,2,2,4,1,26,0,0,1,3,1
no,2,6,3,0,2,0,0,0,1203,3,5,3,2,43,0,0,1,3,1
no,1,6,5,0,2,0,0,0,1204,3,3,4,1,35,1,0,1,3,1
no,3,9,3,1,0,0,0,0,1206,2,5,4,4,25,0,0,1,3,1
no,2,15,3,1,0,0,0,0,1213,4,5,4,3,47,0,1,1,3,1
no,3,6,1,1,0,0,0,0,1221,1,3,1,2,27,0,0,2,3,1
no,2,9,1,0,2,0,0,0,1224,2,3,3,1,30,0,0,2,3,1
no,2,10,3,1,0,0,0,0,1225,2,3,2,2,37,0,0,1,3,1
no,2,24,1,1,0,0,0,0,1231,5,5,4,4,57,0,0,2,4,1
no,3,10,1,0,2,0,0,0,1231,2,5,3,4,32,0,0,2,2,2
no,2,9,3,1,0,0,0,0,1236,2,2,1,4,23,0,0,1,3,1
no,2,6,3,0,2,0,0,0,1236,4,3,2,4,50,0,0,1,3,1
no,1,6,1,1,0,0,0,0,1237,3,3,1,1,27,0,0,2,3,1
no,3,6,3,0,0,0,1,0,1238,1,1,4,4,36,0,0,1,4,2
no,1,18,3,0,0,0,1,0,1239,1,3,4,4,61,0,0,1,3,1
no,3,12,1,1,0,0,0,0,1240,1,5,4,2,38,0,0,2,3,1
no,1,9,1,0,0,0,1,0,1244,1,5,4,4,41,0,0,2,2,1
no,2,24,3,0,2,0,0,0,1249,2,2,4,2,28,0,0,1,3,1
no,1,12,1,0,2,0,0,0,1255,2,5,4,4,61,0,0,2,2,1
no,2,12,1,1,0,0,0,0,1258,2,2,2,4,22,0,0,2,2,1
no,2,24,3,1,0,0,0,0,1258,4,3,3,3,57,0,0,1,2,1
no,2,24,3,0,0,0,0,1,1258,2,4,4,1,25,0,0,1,3,1
no,1,12,3,1,0,0,0,0,1262,1,5,2,4,49,0,0,1,2,1
no,2,12,3,1,0,0,0,0,1262,2,3,3,2,25,0,0,1,3,1
no,3,15,3,1,0,0,0,0,1262,4,4,4,3,36,0,0,2,3,1
no,3,12,1,0,0,0,0,1,1264,1,5,4,4,57,0,0,1,2,1
no,3,24,1,0,0,0,0,1,1275,5,3,2,4,36,0,0,2,3,1
no,2,10,3,1,0,0,0,0,1275,2,2,4,2,23,0,0,1,3,1
no,2,24,3,1,0,0,0,0,1278,2,5,4,1,36,0,0,1,4,1
no,1,22,3,0,2,0,0,0,1283,1,4,4,4,25,0,0,1,3,1
no,3,24,1,0,2,0,0,0,1287,5,5,4,4,37,0,0,2,3,1
no,2,10,3,0,2,0,0,0,1287,1,5,4,2,45,0,0,1,2,1
no,2,9,1,0,0,1,0,0,1288,3,5,3,4,48,0,0,2,3,2
no,2,12,3,1,0,0,0,0,1289,2,3,4,1,21,0,0,1,2,1
no,1,12,1,1,0,0,0,0,1291,2,3,4,2,35,0,0,2,3,1
no,2,18,1,1,0,0,0,0,1295,2,2,4,1,27,0,0,2,3,1
no,2,12,3,1,0,0,0,0,1297,2,3,3,4,23,0,0,1,3,1
no,3,6,1,0,2,0,0,0,1299,2,3,1,1,74,0,0,3,1,2
no,3,15,3,0,2,0,0,0,1300,1,5,4,4,45,1,0,1,3,2
no,2,18,3,1,0,0,0,0,1301,2,5,4,2,32,0,0,1,2,1
no,3,15,3,0,0,1,0,0,1308,2,5,4,4,38,0,0,2,2,1
no,2,24,3,1,0,0,0,0,1311,3,4,4,3,26,0,0,1,3,1
no,2,9,3,1,0,0,0,0,1313,2,5,1,4,20,0,0,1,3,1
no,3,15,1,1,0,0,0,0,1316,4,3,2,2,47,0,0,2,2,1
no,1,12,3,0,2,0,0,0,1318,5,5,4,4,54,0,0,1,3,1
no,1,11,1,0,2,0,0,0,1322,5,3,4,4,40,0,0,2,3,1
no,3,6,1,0,2,0,0,0,1323,3,5,2,4,28,0,0,2,3,2
no,2,12,3,0,2,0,0,0,1330,2,2,4,1,26,0,0,1,3,1
no,1,6,3,1,0,0,0,0,1338,4,3,1,4,62,0,0,1,3,1
no,1,6,1,0,2,0,0,0,1343,2,5,1,4,46,0,0,2,3,2
no,1,12,2,0,2,0,0,0,1344,2,3,4,2,43,0,0,2,2,2
no,1,6,3,1,0,0,0,0,1346,3,5,2,4,42,1,0,1,3,2
no,2,10,1,1,0,0,0,0,1347,1,4,4,2,27,0,0,2,3,1
no,3,6,3,0,2,0,0,0,1352,4,1,1,2,23,0,0,1,1,1
no,1,15,1,1,0,0,0,0,1360,2,3,4,2,31,0,0,2,3,1
no,1,6,1,0,2,0,0,0,1361,2,2,2,4,40,0,0,1,2,2
no,3,9,3,1,0,0,0,0,1364,2,4,3,4,59,0,0,1,3,1
no,1,10,3,0,2,0,0,0,1364,2,3,2,4,64,0,0,1,3,1
no,2,6,3,1,0,0,0,0,1374,2,3,1,2,36,1,0,1,2,1
no,1,6,3,0,2,0,0,0,1374,1,1,4,3,75,0,0,1,4,1
no,3,24,3,1,0,0,0,0,1376,4,4,4,1,28,0,0,1,3,1
no,1,24,3,1,0,0,0,0,1377,3,5,4,2,47,0,0,1,3,1
no,2,24,1,0,0,0,0,1,1382,3,4,4,1,26,0,0,2,3,1
no,2,6,1,1,0,0,0,0,1382,2,3,1,1,28,0,0,2,3,1
no,1,15,3,1,0,0,0,0,1386,1,3,4,2,40,0,0,1,3,1
no,2,9,3,1,0,0,0,0,1388,2,3,4,2,26,0,0,1,3,1
no,3,9,3,0,0,0,0,1,1391,2,3,2,1,27,1,0,1,3,1
no,3,11,1,0,2,0,0,0,1393,2,2,4,4,35,0,0,2,4,1
no,1,12,3,0,0,0,1,0,1393,2,5,4,4,47,1,0,3,3,2
no,2,24,3,0,2,0,0,0,1393,2,3,2,2,31,0,0,1,3,1
no,1,12,1,1,0,0,0,0,1402,4,4,3,4,37,0,0,1,3,1
no,1,15,3,0,2,0,0,0,1403,2,3,2,4,28,0,0,1,3,1
no,1,12,1,0,2,0,0,0,1409,2,5,4,3,54,0,0,1,3,1
no,3,13,3,1,0,0,0,0,1409,3,1,2,4,64,0,0,1,3,1
no,3,14,3,0,0,0,0,1,1410,4,5,1,2,35,0,0,1,3,1
no,3,12,5,0,0,0,1,0,1410,2,3,2,2,31,0,0,1,2,1
no,1,12,1,0,0,0,0,1,1412,2,3,4,2,29,0,0,2,4,1
no,3,12,3,0,2,0,0,0,1413,5,4,3,2,55,0,0,1,3,1
no,3,24,3,1,0,0,0,0,1413,2,3,4,2,28,0,0,1,3,1
no,1,8,3,1,0,0,0,0,1414,2,3,4,2,33,0,0,1,3,1
no,2,10,3,0,2,0,0,0,1418,3,3,3,2,35,0,0,1,2,1
no,2,12,1,1,0,0,0,0,1424,2,4,4,3,26,0,0,1,3,1
no,2,12,3,1,0,0,0,0,1424,1,5,3,4,55,0,0,1,4,1
no,2,15,1,1,0,0,0,0,1433,2,3,4,3,25,0,0,2,3,1
no,2,15,3,1,0,0,0,0,1444,1,2,4,1,23,0,0,1,3,1
no,2,18,4,1,0,0,0,0,1445,1,4,4,4,49,1,0,1,2,1
no,3,9,3,0,0,0,0,1,1449,2,4,3,2,27,0,0,2,3,1
no,2,6,2,0,0,0,0,1,1449,3,5,1,2,31,1,0,2,3,2
no,1,18,3,1,0,0,0,0,1453,2,2,3,1,26,0,0,1,3,1
no,1,4,1,0,2,0,0,0,1455,2,4,2,1,42,0,0,3,2,2
no,2,15,1,1,0,0,0,0,1459,2,3,4,2,43,0,0,1,2,1
no,2,24,3,0,2,0,0,0,1469,3,5,4,4,41,0,0,1,2,1
no,3,15,1,1,0,0,0,0,1471,2,3,4,4,35,0,0,2,3,1
no,1,18,3,1,0,0,0,0,1473,2,2,3,4,39,0,0,1,3,1
no,1,12,3,1,0,0,0,0,1474,2,2,4,1,33,1,0,1,4,1
no,3,24,3,0,2,0,0,0,1474,3,2,4,3,33,0,0,1,3,1
no,3,15,1,1,0,0,0,0,1478,2,5,4,4,44,0,0,2,3,2
no,1,15,2,1,0,0,0,0,1478,2,3,4,3,33,1,0,2,3,1
no,2,12,1,0,2,0,0,0,1480,4,1,2,4,66,1,0,3,1,1
no,1,12,3,1,0,0,0,0,1493,2,2,4,3,34,0,0,1,3,2
no,1,4,3,0,2,0,0,0,1494,1,2,1,2,29,0,0,1,2,2
no,1,12,1,0,2,0,0,0,1495,2,5,4,1,38,0,0,2,2,2
no,3,12,3,1,0,0,0,0,1498,2,3,4,1,23,1,0,1,3,1
no,2,4,1,1,0,0,0,0,1503,2,4,2,1,42,0,0,2,2,2
no,1,12,2,0,2,0,0,0,1503,2,3,4,4,41,0,0,1,3,1
no,2,18,3,1,0,0,0,0,1505,2,3,4,2,32,0,0,1,4,1
no,2,15,3,0,0,1,0,0,1514,3,3,4,2,22,0,0,1,3,1
no,1,24,1,1,0,0,0,0,1516,5,3,4,1,43,0,0,2,2,1
no,3,15,1,1,0,0,0,0,1520,1,5,4,4,63,0,0,1,3,1
no,2,10,3,1,0,0,0,0,1521,2,3,4,2,31,0,0,1,2,1
no,2,24,3,0,2,0,0,0,1525,5,4,4,3,34,0,0,1,3,2
no,1,12,1,0,2,0,0,0,1526,2,5,4,4,66,0,0,2,4,1
no,2,15,1,0,0,0,1,0,1532,3,3,4,3,31,0,0,1,3,1
no,1,24,3,1,0,0,0,0,1533,2,2,4,3,38,0,1,1,3,1
no,2,15,1,1,0,0,0,0,1537,1,5,4,4,50,0,0,2,3,1
no,1,6,3,0,0,0,1,0,1538,2,2,1,2,56,0,0,1,3,1
no,1,12,3,0,0,0,0,1,1542,2,4,2,4,36,0,0,1,3,1
no,3,6,3,1,0,0,0,0,1543,5,3,4,2,33,0,0,1,3,1
no,1,4,1,1,0,0,0,0,1544,2,4,2,1,42,0,0,3,2,2
no,1,10,3,0,2,0,0,0,1546,2,3,3,2,31,0,0,1,2,2
no,1,9,3,0,2,0,0,0,1549,1,2,4,2,35,0,0,1,1,1
no,1,24,3,1,0,0,0,0,1552,2,4,3,1,32,1,0,1,3,2
no,3,24,2,1,0,0,0,0,1553,3,4,3,2,23,0,0,2,3,1
no,1,6,1,1,0,0,0,0,1554,2,4,1,2,24,0,0,2,3,1
no,2,24,4,0,0,0,0,1,1559,2,4,4,4,50,1,0,1,3,1
no,3,12,3,1,0,0,0,0,1567,2,3,1,1,22,0,0,1,3,1
no,2,18,3,0,0,0,0,1,1568,3,3,3,4,24,0,0,1,2,1
no,2,15,4,1,0,0,0,0,1569,3,5,4,4,34,1,0,1,2,2
no,1,21,3,0,0,0,0,1,1572,5,5,4,4,36,1,0,1,2,1
no,2,12,3,1,0,0,0,0,1574,2,3,4,2,50,0,0,1,3,1
no,3,11,3,1,0,0,0,0,1577,5,2,4,1,20,0,0,1,3,1
no,3,18,1,1,0,0,0,0,1582,5,5,4,4,46,0,0,2,3,1
no,2,24,1,1,0,0,0,0,1585,2,4,4,3,40,0,0,2,3,1
no,1,21,2,1,0,0,0,0,1591,3,4,4,3,34,0,0,2,4,1
no,1,12,1,1,0,0,0,0,1592,5,4,3,2,35,0,0,1,3,1
no,3,6,3,1,0,0,0,0,1595,2,4,3,2,51,0,0,1,3,2
no,2,24,1,0,0,0,1,0,1597,2,5,4,4,54,0,0,2,3,2
no,1,10,3,0,2,0,0,0,1597,4,3,3,2,40,0,0,1,2,2
no,2,21,1,0,2,0,0,0,1602,2,5,4,3,30,0,0,2,3,1
no,1,24,3,1,0,0,0,0,1603,2,5,4,4,55,0,0,1,3,1
no,1,12,3,1,0,0,0,0,1620,2,3,2,3,30,0,0,1,3,1
no,2,12,1,1,0,0,0,0,1655,2,5,2,4,63,0,0,2,2,1
no,1,12,3,1,0,0,0,0,1657,2,3,2,2,27,0,0,1,3,1
no,2,12,3,1,0,0,0,0,1680,4,5,3,1,35,0,0,1,3,1
no,3,30,3,1,0,0,0,0,1715,1,3,4,1,26,0,0,1,3,1
no,2,15,3,0,2,0,0,0,1721,2,2,2,3,36,0,0,1,3,1
no,1,12,3,1,0,0,0,0,1736,2,4,3,4,31,0,0,1,2,1
no,1,6,1,1,0,0,0,0,1740,2,5,2,2,30,0,0,2,3,1
no,2,24,1,1,0,0,0,0,1743,2,5,4,2,48,0,0,2,2,1
no,3,6,2,0,0,0,0,1,1743,3,3,1,2,34,0,0,2,2,1
no,3,24,3,1,0,0,0,0,1747,2,2,4,1,24,0,0,1,2,1
no,1,6,4,1,0,0,0,0,1750,4,5,2,4,45,1,0,1,2,2
no,2,24,3,0,1,0,0,0,1755,2,5,4,4,58,0,0,1,2,1
no,2,6,3,1,0,0,0,0,1766,2,3,1,2,21,0,0,1,3,1
no,2,12,3,1,0,0,0,0,1768,2,3,3,2,24,0,0,1,2,1
no,3,18,1,1,0,0,0,0,1795,2,5,3,4,48,1,0,2,2,1
no,3,13,1,0,0,0,0,1,1797,2,2,3,1,28,1,0,2,2,1
no,1,18,1,1,0,0,0,0,1800,2,3,4,2,24,0,0,2,3,1
no,1,12,1,0,2,0,0,0,1804,3,2,3,4,44,0,0,1,3,1
no,3,18,1,1,0,0,0,0,1817,2,3,4,2,28,0,0,2,3,1
no,1,18,3,0,2,0,0,0,1820,2,3,2,2,30,0,0,1,4,1
no,2,15,1,1,0,0,0,0,1829,2,5,4,4,46,0,0,2,3,1
no,3,15,3,1,0,0,0,0,1845,2,2,4,1,46,0,0,1,3,1
no,1,24,1,1,0,0,0,0,1851,2,4,4,2,33,0,0,2,3,1
no,2,12,3,1,0,0,0,0,1858,2,2,4,1,22,0,0,1,3,1
no,2,12,1,0,2,0,0,0,1860,2,1,4,2,34,0,0,2,4,1
no,1,30,3,1,0,0,0,0,1867,1,5,4,4,58,0,0,1,3,1
no,1,6,1,1,0,0,0,0,1872,2,1,4,4,36,0,0,3,4,1
no,1,18,1,1,0,0,0,0,1880,2,4,4,1,32,0,0,2,4,1
no,1,12,3,1,0,0,0,0,1881,2,3,2,2,44,0,0,1,2,1
no,2,12,3,0,2,0,0,0,1884,2,5,4,4,39,0,0,1,4,1
no,1,18,1,0,0,0,0,1,1887,1,3,4,4,28,1,0,2,3,1
no,1,12,3,0,2,0,0,0,1893,2,3,4,4,29,0,0,1,3,1
no,1,6,1,1,0,0,0,0,1898,1,3,1,2,34,0,0,2,2,2
no,1,24,3,1,0,0,0,0,1901,3,3,4,4,29,0,0,1,4,1
no,2,15,3,0,0,0,1,0,1905,2,5,4,4,40,0,0,1,4,1
no,1,18,3,0,0,0,0,1,1913,5,2,3,3,36,1,0,1,3,1
no,1,9,1,1,0,0,0,0,1919,2,4,4,3,35,0,0,1,3,1
no,3,10,3,1,0,0,0,0,1924,2,3,1,4,38,0,0,1,3,1
no,2,24,3,1,0,0,0,0,1925,2,3,2,2,26,0,0,1,3,1
no,2,24,1,0,0,0,1,0,1927,1,3,3,2,33,0,0,2,3,1
no,3,12,1,1,0,0,0,0,1934,2,5,2,2,26,0,0,2,3,1
no,3,12,1,1,0,0,0,0,1935,2,5,4,4,43,0,0,3,3,1
no,3,18,3,1,0,0,0,0,1936,1,4,2,4,23,0,0,2,2,1
no,1,24,1,0,2,0,0,0,1940,5,5,4,4,60,0,0,1,3,1
no,3,18,4,1,0,0,0,0,1940,2,2,3,4,36,1,0,1,4,1
no,3,18,3,0,0,0,0,1,1941,5,3,4,2,35,0,0,1,2,1
no,3,18,3,0,0,0,0,1,1950,2,4,4,1,34,0,1,2,3,1
no,1,6,1,1,0,0,0,0,1957,2,4,1,4,31,0,0,1,3,1
no,3,18,3,0,2,0,0,0,1961,2,5,3,2,23,0,0,1,4,1
no,2,12,3,1,0,0,0,0,1963,2,4,4,2,31,0,0,2,4,2
no,2,24,2,0,2,0,0,0,1965,1,3,4,4,42,0,0,2,3,1
no,2,24,3,1,0,0,0,0,1967,2,5,4,4,20,0,0,1,3,1
no,1,15,3,1,0,0,0,0,1979,1,5,4,2,35,0,0,1,3,1
no,3,18,3,1,0,0,0,0,1984,2,3,4,4,47,1,0,2,3,1
no,1,12,1,0,2,0,0,0,1995,3,2,4,1,27,0,0,1,3,1
no,1,12,3,0,2,0,0,0,2002,2,4,3,4,30,0,0,1,3,2
no,3,12,1,0,0,0,1,0,2012,1,4,4,2,61,0,0,1,3,1
no,1,24,1,0,2,0,0,0,2022,2,3,4,4,37,0,0,1,3,1
no,1,24,1,1,0,0,0,0,2028,2,4,2,2,30,0,0,2,2,1
no,3,12,3,0,2,0,0,0,2028,1,3,4,2,30,0,0,1,3,1
no,3,9,3,1,0,0,0,0,2030,1,4,2,1,24,0,0,1,3,1
no,2,24,2,0,2,0,0,0,2032,2,5,4,4,60,0,0,2,3,1
no,3,18,3,1,0,0,0,0,2051,2,2,4,1,33,0,0,1,3,1
no,2,24,1,0,0,1,0,0,2058,2,3,4,2,33,0,0,2,3,1
no,2,6,3,1,0,0,0,0,2063,2,2,4,3,30,0,0,1,4,1
no,3,10,1,1,0,0,0,0,2069,1,3,2,1,26,0,0,2,3,1
no,3,12,3,1,0,0,0,0,2073,3,3,4,2,28,0,0,1,3,1
no,1,6,1,0,2,0,0,0,2080,4,3,1,2,24,0,0,1,3,1
no,1,12,1,0,0,0,1,0,2096,2,4,2,3,49,0,0,1,2,2
no,2,13,3,1,0,0,0,0,2101,2,2,2,4,23,0,0,1,2,1
no,1,6,3,1,0,0,0,0,2108,2,4,2,2,29,0,0,1,3,1
no,2,6,3,1,0,0,0,0,2116,2,3,2,2,41,0,0,1,3,1
no,1,9,3,1,0,0,0,0,2118,2,3,2,2,37,0,0,1,2,2
no,2,12,1,0,2,0,0,0,2121,2,3,4,2,30,0,0,2,3,1
no,3,12,1,0,2,0,0,0,2122,2,3,3,2,39,0,0,2,2,2
no,2,10,1,1,0,0,0,0,2132,1,2,2,3,27,0,0,2,3,1
no,1,12,3,0,2,0,0,0,2133,1,5,4,4,52,0,0,1,4,1
no,1,9,1,0,2,0,0,0,2134,2,3,4,4,48,0,0,3,3,1
no,2,9,3,1,0,0,0,0,2136,2,3,3,2,25,0,0,1,3,1
no,2,12,3,1,0,0,0,0,2141,3,4,3,1,35,0,0,1,3,1
no,2,11,3,0,0,0,0,1,2142,5,5,1,2,28,0,0,1,3,1
